Amy Adams 
Tim Allen
Baby Marie
Roseanne Barr
Earl W. Bascom
Jessica Biel
Kelly Bishop
Michael Boatman
Sierra Boggess
Tom Bower 
Jason Brooks 
Zachery Ty Bryan
Matthew Carey
Mary Jo Catlett
Kristin Cavallari
Lon Chaney
Duane Chapman
Beth Chapman
'Baby' Lyssa Chapman
Don Cheadle
Ken Curtis
Pat Day
Brian Dietzen
Jack Earle
Ralph Edwards
Chris Eigeman
Douglas Fairbanks
David Fincher
Joel Geist
Pam Grier
Devon Gummersall
"Michael ""Ffish"" Hemschoot"
Kelo Henderson
Neil Hopkins
Steve Howey 
Olin Howland
Daniel Junge
Brandy Ledford
Sheryl Lee
Jake Lloyd
Scott Lowell
Hattie McDaniel
T. J. Miller
Bill Murray
Tracey Needham
Cyrus Nowrasteh
Peter O'Fallon
Amanda Peterson
Trey Parker
Antoinette Perry
Cassandra Peterson
Joseph C. Phillips
Denver Pyle
Brandon Quinn
Kristen Renton
AnnaSophia Robb
Mark Roberts 
Karly Rothenberg
Kristen Schaal
Charity Shea
Matt Stone
Sherry Stringfield
Tom Tully
Jan-Michael Vincent
Robert Adams 
Earl W. Bascom
John Fabian Carlson
Tomory Dodge
Jess E. DuBois
John Fielder
William Henry Jackson
Barry Kooser
David Burroughs Mattingly
Arthur Roy Mitchell
Amanda Marie 
Robert Reid 
STS-51-F
Jeffrey Ashby
Patrick Baudry
John E. Blaha
Michael J. Bloomfield
Karol J. Bobko
Bruce McCandless II
Eric A. Boe
Vance D. Brand
Roy D. Bridges
Curtis Brown
Scott Carpenter
Gerald P. Carr
John Casper
Kalpana Chawla
Kevin P. Chilton
Mary L. Cleave
Gordon Cooper
Richard O. Covey
Takao Doi
B. Alvin Drew
Brian Duffy 
Samuel T. Durrance
James Dutton 
Martin J. Fettman
Dale Gardner
Guy Gardner 
Ronald J. Grabe
Frederick D. Gregory
William G. Gregory
Sidney M. Gutierrez
James D. Halsell
L. Blaine Hammond
Susan J. Helms
Terence T. Henricks
John Herrington
Richard Hieb
James Irwin
Marsha Ivins
Gregory H. Johnson
Thomas D. Jones
James M. Kelly
Kevin R. Kregel
Mark C. Lee
Steven W. Lindsey
John M. Lounge
Donald R. McMonagle
Dorothy Metcalf-Lindenburger
George Nelson 
Ellison Onizuka
William A. Pailes
Scott E. Parazynski
Charles J. Precourt
Kent Rominger
Stuart Roosa
Richard A. Searfoss
Ronald M. Sega
Loren Shriver
Robert L. Stewart
Steven Swanson
Jack Swigert
Joseph R. Tanner
James van Hoften
Charles L. Veach
Terry W. Virts
James Voss
Max Aaron
David Aardsma
Louis Amundson
Heather Armbrust
Tom Ashworth
Josh Bard
Earl W. Bascom
Chauncey Billups
Jeremy Bloom
Tony Boselli
Ronnie Bradford
Calais Campbell
Joe Barry Carroll
Tom Chambers 
Dutch Clark
Jon Cooper 
Jesse Crain
Mason Crosby
Drew Davis
Joe DeCamillis
Jack Dempsey
Reed Doughty
Joel Dreessen
Justin Drescher
John Elway
Alex English
Brian Fisher 
Missy Franklin
Arielle Gold
Taylor Gold
Goose Gossage
Daniel Graham
Roy Halladay
Matt Hasselbeck
Taryn Hemmings
Chase Headley
Phil Heath
Luke Hochevar
Lamarr Houston
Reggie Jackson 
Vincent Jackson
Ryan Jensen 
Dirk Johnson
Mark Knudson
Kevin Kouzmanoff
Buddy Lazier
Brad Lidge
Phil Loadholt
Dave Logan 
Brian Matusz
Brandon McCarthy
Darnell McDonald
Mark Melancon
Bill Musgrave
Jesse Nading
David Pauley
Tyler Polumbus
Alina Popa
Michael Ray Richardson
Gijon Robinson
Kevin Russo
Bob Sapp
Bo Scaife
Daniel Schlereth
Brian Schottenheimer
Aaron Smith 
Alex Smith 
Jason Smith 
Nate Solder
Kory Sperry
Eve Torres
Bobby Unser
Jerry Unser
Pat Valenzuela
Amy Van Dyken
LenDale White
William Bent
Norman E. Brinker
Margaret Brown
Adolph Coors
Charles Gates
Elliot Handler
Daniel M. Lewin
Otto Mears
James Smith McDonnell
David Moffat
Texas Jack Omohundro
William Jackson Palmer
Winfield Scott Stratton
Horace Tabor
Robert Baer
Matthew Berry
Neal Cassady
Clive Cussler
Eugene Field
Allen Ginsberg
Helen Hunt Jackson
Ken Kesey
James A. Michener
Sayyid Qutb
Marguerite Roberts
Lowell Thomas
Hunter S. Thompson
Dalton Trumbo
Elmo Scott Watson
Connie Willis
Erwin J. Boydston
Arleigh Burke
Kit Carson
Louis H. Carpenter
Francis S. Dodge
Dwight David Eisenhower
Edward P. Grimes 
William R. Grove 
William P. Hall
Henry Johnson 
John S. Lawton 
John Merrill 
George Moquin 
Edward F. Murphy 
Wilhelm O. Philipsen 
John A. Poppe 
Hampton M. Roach 
George W. Wallace
Jacob Widmer 
3OH!3
Laurie Anderson
The Astronauts 
Ginger Baker
Jello Biafra
Big Head Todd and the Monsters
Tommy Bolin
Breathe Carolina
Chris Broderick
Antonia Brico
Jesse Carmichael
John Denver
DeVotchKa
Bryan Erickson 
Flobots
The Fluid
The Fray
India.Arie
Ronnie Lane
The Lumineers
C.W. McCall
Glenn Miller
Ronnie Montrose
OneRepublic
Pretty Lights
The Samples
Tickle Me Pink
Townes Van Zandt
Velvet Acid Christ
Reverb and The Verse
Chuck E. Weiss
Paul Whiteman
Kip Winger
Yonder Mountain String Band
Ace Young
William B. Ebbert
Gerald Ford
Trent Franks
Irving Howbert
John Kerry
Golda Meir
Chief Ouray
Dana Perino
Karl Rove
Condoleezza Rice
Ken Rutherford 
Scott Walker 
Byron R. White
Maurice L. Albertson
Sidney Altman
Albert Allen Bartlett
Arden L. Bement
Lewis M. Branscomb
Mary Babnik Brown
Thomas Cech
Edward Condon
Eric Allin Cornell
T. Neil Davis
George Gamow
John L. Hall
Deborah S. Jin
Herbert Kroemer
Margaret Murnane
Frank Oppenheimer
Tim Samaras
Nikola Tesla
Carl Wieman
Adam Leech 
Anwar al-Awlaki
Emily Gibson Braerton
John Lewis Dyer
Mamie Eisenhower
Gottlieb Fluhmann
Brison D. Gooch
Lars Grimsrud
Marie Guiraud
Samuel Hartsel
Marvin Heemeyer
John J. Hoover
Sheldon Jackson
Frank Mayer 
Arthur Roy Mitchell
Talcott Parsons
Benjamin Ratcliff
Rick Reilly
Jon Scott
Anna Blythe Speas
James Q. Wilson
commons:Category:People of Colorado
Category:People from Colorado
Category:Use mdy dates from March 2013
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
